Timestamp,CPU%,Memory(MB)
2025-01-27 11:34:14,0.0,28.73
2025-01-27 11:34:29,0.0,28.73
2025-01-27 11:34:44,0.0,28.73
2025-01-27 11:34:59,0.0,28.73
2025-01-27 11:35:14,0.0,28.73
2025-01-27 11:35:29,0.0,28.73
2025-01-27 11:35:44,0.0,28.73
2025-01-27 11:35:59,0.0,28.73
2025-01-27 11:36:14,0.0,28.73
2025-01-27 11:38:45,0.0,28.73
2025-01-27 11:39:00,0.0,28.74
2025-01-27 11:39:16,0.0,28.74
2025-01-27 11:39:31,0.0,28.75
2025-01-27 11:39:48,0.0,28.76
2025-01-27 11:40:04,0.0,28.76
2025-01-27 11:40:19,0.0,28.76
2025-01-27 11:40:34,0.0,28.76
2025-01-27 11:42:25,0.0,28.76
2025-01-27 11:42:40,0.0,28.76
2025-01-27 11:42:55,0.0,28.76
2025-01-27 11:43:10,0.0,28.76
2025-01-27 11:43:25,1.2,26.20
2025-01-27 11:43:40,0.0,26.20
2025-01-27 11:43:56,0.3,26.20
2025-01-27 11:44:11,0.0,26.20
2025-01-27 11:44:26,0.0,26.20
2025-01-27 11:44:41,0.0,26.20
2025-01-27 11:44:56,0.0,26.21
2025-01-27 11:45:11,0.0,26.21
2025-01-27 11:45:26,0.0,26.21
2025-01-27 11:45:41,0.0,26.22
2025-01-27 11:45:56,0.0,26.22
2025-01-27 11:46:11,0.0,26.22
2025-01-27 11:46:26,0.0,26.22
2025-01-27 11:46:41,0.0,26.22
2025-01-27 11:46:56,0.0,26.22
2025-01-27 11:47:11,0.0,26.23
2025-01-27 11:47:26,0.0,26.23
2025-01-27 11:47:42,0.0,26.23
2025-01-27 11:47:57,0.0,26.23
2025-01-27 11:48:12,0.0,26.23
2025-01-27 11:48:27,0.0,26.23
2025-01-27 11:48:42,0.0,26.24
2025-01-27 11:48:57,0.0,26.24
2025-01-27 11:49:12,0.0,26.24
2025-01-27 11:49:27,0.0,26.27
2025-01-27 11:49:42,0.0,26.30
2025-01-27 11:49:57,0.0,26.37
2025-01-27 11:50:12,0.0,26.39
2025-01-27 11:50:27,0.0,26.41
2025-01-27 11:50:42,0.0,26.41
2025-01-27 11:50:57,0.0,26.43
2025-01-27 11:51:13,0.0,26.45
2025-01-27 11:51:28,0.0,26.46
2025-01-27 11:51:43,0.0,26.46
2025-01-27 11:51:58,0.0,26.46
2025-01-27 11:52:13,0.0,26.47
2025-01-27 11:52:28,0.0,26.47
2025-01-27 11:52:43,0.0,26.47
2025-01-27 11:52:58,0.0,26.47
2025-01-27 11:53:13,0.0,26.47
2025-01-27 11:53:28,0.0,26.47
2025-01-27 11:53:43,0.0,26.48
2025-01-27 11:53:58,0.0,26.48
2025-01-27 11:54:14,0.0,26.48
2025-01-27 12:13:12,0.0,26.50
2025-01-27 12:13:27,0.0,26.53
2025-01-27 12:13:43,0.0,26.53
2025-01-27 12:13:58,24.4,26.77
2025-01-27 12:14:13,0.0,27.11
2025-01-27 12:14:28,0.0,27.16
2025-01-27 12:23:02,0.0,27.17
2025-01-27 12:23:17,0.0,27.28
2025-01-27 12:23:32,0.0,27.29
2025-01-27 12:23:47,0.0,27.29
2025-01-27 12:24:03,0.0,27.29
2025-01-27 12:24:18,0.0,27.29
2025-01-27 12:24:33,0.0,27.29
2025-01-27 12:24:48,0.0,27.29
2025-01-27 12:25:03,0.0,27.29
2025-01-27 12:25:18,0.0,27.29
2025-01-27 12:25:33,0.2,27.29
2025-01-27 12:25:48,0.0,27.29
2025-01-27 12:26:03,0.0,27.29
2025-01-27 12:26:18,0.0,27.29
2025-01-27 12:26:33,0.0,27.29
2025-01-27 12:26:48,0.0,27.29
2025-01-27 12:27:03,0.0,27.29
2025-01-27 12:27:18,0.0,27.29
2025-01-27 12:27:34,0.0,27.29
2025-01-27 12:27:49,0.0,27.30
2025-01-27 12:28:04,0.0,27.33
2025-01-27 12:28:19,0.2,28.16
2025-01-27 12:28:34,1.3,28.43
2025-01-27 12:28:49,0.4,28.51
2025-01-27 12:29:04,0.1,28.51
2025-01-27 12:29:19,0.0,28.53
2025-01-27 12:29:34,0.1,26.96
2025-01-27 12:29:49,0.0,26.98
2025-01-27 12:30:04,0.0,27.00
2025-01-27 12:30:19,0.0,27.01
2025-01-27 12:30:34,0.0,27.06
2025-01-27 12:30:50,0.0,27.12
2025-01-27 12:31:05,0.0,27.14
2025-01-27 12:31:20,0.0,27.17
2025-01-27 12:31:35,0.0,27.26
2025-01-27 12:31:50,0.0,27.26
2025-01-27 12:32:05,0.0,27.26
2025-01-27 12:32:20,0.0,27.26
2025-01-27 12:32:35,0.0,27.27
2025-01-27 12:32:50,0.0,27.27
2025-01-27 12:33:05,0.0,27.28
2025-01-27 12:33:20,0.0,27.28
2025-01-27 12:33:35,0.0,27.28
2025-01-27 12:33:50,0.0,27.28
2025-01-27 12:34:06,0.0,27.28
2025-01-27 12:34:21,0.0,27.28
2025-01-27 12:34:36,0.0,27.28
2025-01-27 12:34:51,0.0,27.29
2025-01-27 12:35:06,0.0,27.29
2025-01-27 12:35:21,0.0,27.29
2025-01-27 12:35:36,0.0,27.29
2025-01-27 12:35:51,0.0,27.29
2025-01-27 12:36:06,0.0,27.37
2025-01-27 12:36:21,0.0,27.37
2025-01-27 12:36:36,0.0,27.39
2025-01-27 12:36:51,0.0,27.40
2025-01-27 12:37:06,0.0,27.41
2025-01-27 12:37:22,0.0,27.41
2025-01-27 12:37:37,0.0,27.41
2025-01-27 12:37:52,0.0,27.41
2025-01-27 12:38:07,0.0,27.41
2025-01-27 12:38:22,0.0,27.42
2025-01-27 12:38:37,0.0,27.42
2025-01-27 12:38:52,1.8,27.45
2025-01-27 12:39:07,0.0,27.45
2025-01-27 12:39:22,0.7,27.45
2025-01-27 12:39:37,0.0,27.45
2025-01-27 12:39:52,0.0,27.45
2025-01-27 12:40:07,0.1,27.45
2025-01-27 12:40:22,0.1,27.46
2025-01-27 12:40:37,0.0,27.46
2025-01-27 12:40:52,0.8,27.46
2025-01-27 12:41:08,0.0,27.46
2025-01-27 12:41:23,0.1,27.46
2025-01-27 12:41:38,0.0,27.47
2025-01-27 12:41:53,0.1,27.47
2025-01-27 12:42:08,0.0,27.47
2025-01-27 12:42:23,0.0,27.47
2025-01-27 12:42:38,0.0,27.48
2025-01-27 12:42:53,0.0,27.51
2025-01-27 12:43:08,0.0,27.51
2025-01-27 12:43:23,0.0,27.52
2025-01-27 12:43:38,0.0,27.53
2025-01-27 12:43:53,0.0,27.53
2025-01-27 12:44:08,0.0,27.53
2025-01-27 12:44:23,0.0,27.53
2025-01-27 12:44:39,0.0,27.53
2025-01-27 12:44:54,1.7,27.53
2025-01-27 12:45:09,0.2,27.53
2025-01-27 12:45:24,0.0,27.53
2025-01-27 12:45:39,0.0,27.53
2025-01-27 12:45:54,0.0,27.53
2025-01-27 12:46:09,0.0,27.53
2025-01-27 12:46:24,0.0,27.54
2025-01-27 12:46:39,0.0,27.54
2025-01-27 12:46:54,0.0,27.54
2025-01-27 12:47:09,0.0,27.54
2025-01-27 12:47:24,0.0,27.54
2025-01-27 12:47:39,0.0,27.54
2025-01-27 12:47:54,0.0,27.54
2025-01-27 12:48:09,0.0,27.54
2025-01-27 12:48:25,0.0,27.54
2025-01-27 12:48:40,0.0,27.56
2025-01-27 12:48:55,0.0,27.57
2025-01-27 12:49:10,0.0,27.59
2025-01-27 12:49:25,0.0,27.59
2025-01-27 12:49:40,0.0,27.59
2025-01-27 12:49:55,0.0,27.60
2025-01-27 12:50:10,0.0,27.62
2025-01-27 12:50:25,0.0,27.65
2025-01-27 12:50:40,0.0,27.68
2025-01-27 12:50:55,0.0,27.69
2025-01-27 12:51:10,0.0,27.69
2025-01-27 12:51:25,0.0,27.70
2025-01-27 12:51:40,0.0,27.70
2025-01-27 12:51:56,0.0,27.70
2025-01-27 12:52:11,0.0,27.70
2025-01-27 12:52:26,0.0,27.70
2025-01-27 12:52:41,0.0,27.71
2025-01-27 12:52:56,0.0,27.71
2025-01-27 12:53:11,0.0,27.71
2025-01-27 12:53:26,0.0,27.71
2025-01-27 12:53:41,0.0,27.71
2025-01-27 12:53:56,0.0,27.71
2025-01-27 12:54:11,0.0,27.71
2025-01-27 12:54:26,0.0,27.71
2025-01-27 12:54:41,0.1,27.71
2025-01-27 12:54:56,0.0,27.71
2025-01-27 12:55:12,0.1,27.71
2025-01-27 12:55:27,0.0,27.71
2025-01-27 12:55:42,0.0,27.71
2025-01-27 12:55:57,0.0,27.71
2025-01-27 12:56:12,0.0,27.72
2025-01-27 12:56:27,0.0,27.72
2025-01-27 12:59:24,0.0,27.72
2025-01-27 12:59:39,0.0,27.73
2025-01-27 12:59:54,0.0,27.73
2025-01-27 13:00:10,0.0,27.73
2025-01-27 13:00:53,0.0,27.73
2025-01-27 13:01:08,0.0,27.73
2025-01-27 13:01:23,0.0,27.73
2025-01-27 13:01:38,0.0,27.74
2025-01-27 13:16:14,0.0,27.75
2025-01-27 13:16:29,0.0,27.75
2025-01-27 13:16:44,0.0,27.75
2025-01-27 13:17:00,0.0,27.76
2025-01-27 13:17:15,0.0,27.76
2025-01-27 13:18:18,0.0,27.76
2025-01-27 13:18:33,0.0,27.76
2025-01-27 13:18:49,0.0,27.77
2025-01-27 13:19:04,0.0,27.77
2025-01-27 13:19:19,0.0,27.78
2025-01-27 13:19:34,0.0,27.78
